State,County,Cases as of 10/12/2020,90th Percentile AQI,Days Ozone,Days PM2.5,Mean Temp,Population Density (2010)
Pennsylvania,Bradford,379,52,242,110,51.6,54.6
Pennsylvania,Bucks,9392,54,357,0,57.8,1034.7
Pennsylvania,Cambria,775,57,189,170,52.2,208.7
Pennsylvania,Centre,3545,62,203,162,53.1,138.7
Pennsylvania,Chester,7455,64,257,107,57.8,664.7
Pennsylvania,Clearfield,371,44,359,0,52.2,71.3
Pennsylvania,Cumberland,2119,64,0,365,57.4,431.6
Pennsylvania,Dauphin,4234,64,237,127,56.7,510.6
Pennsylvania,Delaware,12257,71,208,151,59.2,3040.5
Pennsylvania,Elk,87,46,357,0,51.4,38.6
Pennsylvania,Erie,1809,51,245,110,52.5,351.1
Pennsylvania,Fayette,883,54,271,89,54.9,172.8
Pennsylvania,Franklin,1931,48,341,0,57,193.7
Pennsylvania,Greene,204,48,257,92,56,67.2
Pennsylvania,Indiana,883,49,348,0,53.6,107.5
Pennsylvania,Lackawanna,3022,49,290,53,51.4,467.1
Pennsylvania,Lancaster,8669,72,198,167,57.9,550.4
Pennsylvania,Lawrence,643,43,361,0,53.9,254.4
Pennsylvania,Lebanon,2401,62,219,141,56.9,369.1
Pennsylvania,Lehigh,5999,61,247,111,56.8,1012.5
Pennsylvania,Luzerne,4458,45,351,0,52,360.4
Pennsylvania,Lycoming,838,46,299,62,52.7,94.5
Pennsylvania,Mercer,840,57,259,106,52.9,173.4
Pennsylvania,Monroe,1884,45,349,0,51.8,279.5
Pennsylvania,Montgomery,12897,58,238,124,58.7,1655.9
Pennsylvania,Northampton,4883,62,242,119,55.7,805.4
Pennsylvania,Philadelphia,39413,71,206,129,59.9,11379.5
Pennsylvania,Somerset,278,48,359,0,52.5,72.4
Pennsylvania,Susquehanna,352,46,0,352,51.1,52.7
Pennsylvania,Tioga,122,47,288,70,50.5,37
Pennsylvania,Warren,57,27,0,0,51.2,47.3
Pennsylvania,Washington,1556,64,205,160,55.7,242.5
Pennsylvania,Westmoreland,1993,50,278,76,55.2,355.4
Pennsylvania,Wyoming,91,63,0,27,52.1,71.2
Pennsylvania,York,5553,56,232,111,57.7,481.1
Texas,Bell,5825,58,265,99,71.1,295.2
Texas,Bexar,59914,71,161,200,73.1,1383.1
Texas,Bowie,1579,58,0,349,67,104.6
Texas,Brazoria,11960,51,360,0,74.3,230.7
Texas,Brewster,233,54,308,54,70.6,1.5
Texas,Cameron,23492,62,128,237,78.3,456
Texas,Collin,16384,58,365,0,68.1,930
Texas,Culberson,75,51,105,45,67.5,0.6
Texas,Dallas,91755,72,199,146,69.6,2718
Texas,Denton,14472,67,287,72,68.5,754.3
Texas,Ector,5409,50,0,354,69.1,152.8
Texas,El Paso,29384,84,204,137,69,790.6
Texas,Ellis,4605,56,269,90,69.6,159.9
Texas,Freestone,430,1,0,0,69.5,22.6
Texas,Galveston,11979,61,261,97,74.5,769.9
Texas,Gregg,3009,51,343,0,68.3,445.4
Texas,Harris,152000,93,154,184,74,2042.4
Texas,Harrison,963,54,202,127,68.4,72.9
Texas,Hidalgo,33495,66,132,232,78.2,493.2
Texas,Hood,1045,50,357,0,69.5,121.7
Texas,Howard,992,54,0,0,68.2,38.9
Texas,Hunt,1771,47,361,0,67.5,102.5
Texas,Hutchinson,268,117,0,0,64,25
Texas,Jefferson,7855,65,202,148,72.7,187.9
Texas,Johnson,3316,61,352,0,69.3,208.3
Texas,Kaufman,3303,52,288,76,68.9,132.4
Texas,Kleberg,1029,56,0,284,77.2,36.4
Texas,Lubbock,14377,42,0,330,65.2,311.3
Texas,Maverick,3838,54,0,339,75.4,42.4
Texas,McLennan,9125,50,321,43,70.3,226.5
Texas,Milam,520,1,0,0,71.3,24.3
Texas,Montgomery,12496,58,284,79,72.8,437.5
Texas,Navarro,1813,67,225,71,69.6,47.3
Texas,Nueces,20835,62,171,193,76.3,405.8
Texas,Orange,1043,59,195,150,72.2,245.3
Texas,Parker,2185,54,363,0,68.5,129.4
Texas,Polk,1205,44,344,0,71.1,43
Texas,Potter,6822,55,0,255,63.3,133.3
Texas,Randall,3955,61,354,0,62.4,132.4
Texas,Robertson,379,1,0,0,70.4,19.4
Texas,Rockwall,1754,47,323,0,68.5,616.7
